House,Day,Minute,Outdoor (Zone - 0) Occupant,Bedroom (Zone - 1) Occupant,Livingroom (Zone - 2) Occupant,Kitchen (Zone - 3) Occupant,Bathroom (Zone - 4) Occupant
A,30,0,1,0,1,0,0
A,30,1,1,0,1,0,0
A,30,2,1,0,1,0,0
A,30,3,1,0,1,0,0
A,30,4,1,0,1,0,0
A,30,5,1,0,1,0,0
A,30,6,1,0,1,0,0
A,30,7,1,0,1,0,0
A,30,8,1,0,1,0,0
A,30,9,1,0,1,0,0
A,30,10,1,0,1,0,0
A,30,11,1,0,1,0,0
A,30,12,1,0,1,0,0
A,30,13,1,0,1,0,0
A,30,14,1,0,1,0,0
A,30,15,1,0,1,0,0
A,30,16,1,0,1,0,0
A,30,17,1,0,1,0,0
A,30,18,1,0,1,0,0
A,30,19,1,0,1,0,0
A,30,20,1,0,1,0,0
A,30,21,1,0,1,0,0
A,30,22,1,0,1,0,0
A,30,23,1,0,1,0,0
A,30,24,1,1,0,0,0
A,30,25,1,1,0,0,0
A,30,26,1,1,0,0,0
A,30,27,1,1,0,0,0
A,30,28,1,1,0,0,0
A,30,29,1,1,0,0,0
A,30,30,1,1,0,0,0
A,30,31,1,1,0,0,0
A,30,32,1,1,0,0,0
A,30,33,1,1,0,0,0
A,30,34,1,1,0,0,0
A,30,35,1,1,0,0,0
A,30,36,1,1,0,0,0
A,30,37,1,1,0,0,0
A,30,38,1,1,0,0,0
A,30,39,1,1,0,0,0
A,30,40,1,1,0,0,0
A,30,41,1,1,0,0,0
A,30,42,1,1,0,0,0
A,30,43,1,1,0,0,0
A,30,44,1,1,0,0,0
A,30,45,1,1,0,0,0
A,30,46,1,1,0,0,0
A,30,47,1,1,0,0,0
A,30,48,1,1,0,0,0
A,30,49,1,1,0,0,0
A,30,50,1,1,0,0,0
A,30,51,1,1,0,0,0
A,30,52,1,1,0,0,0
A,30,53,1,1,0,0,0
A,30,54,1,1,0,0,0
A,30,55,1,1,0,0,0
A,30,56,1,1,0,0,0
A,30,57,1,1,0,0,0
A,30,58,1,1,0,0,0
A,30,59,1,1,0,0,0
A,30,60,1,1,0,0,0
A,30,61,1,1,0,0,0
A,30,62,1,1,0,0,0
A,30,63,1,1,0,0,0
A,30,64,1,1,0,0,0
A,30,65,1,1,0,0,0
A,30,66,1,1,0,0,0
A,30,67,1,1,0,0,0
A,30,68,1,1,0,0,0
A,30,69,1,1,0,0,0
A,30,70,1,1,0,0,0
A,30,71,1,1,0,0,0
A,30,72,1,1,0,0,0
A,30,73,1,1,0,0,0
A,30,74,1,1,0,0,0
A,30,75,1,1,0,0,0
A,30,76,1,1,0,0,0
A,30,77,1,1,0,0,0
A,30,78,1,1,0,0,0
A,30,79,1,1,0,0,0
A,30,80,1,1,0,0,0
A,30,81,1,1,0,0,0
A,30,82,1,1,0,0,0
A,30,83,1,1,0,0,0
A,30,84,1,1,0,0,0
A,30,85,1,0,0,0,1
A,30,86,1,0,0,0,1
A,30,87,1,0,0,0,1
A,30,88,1,0,0,0,1
A,30,89,1,0,0,0,1
A,30,90,1,0,0,0,1
A,30,91,1,1,0,0,0
A,30,92,1,1,0,0,0
A,30,93,1,1,0,0,0
A,30,94,1,1,0,0,0
A,30,95,1,1,0,0,0
A,30,96,1,1,0,0,0
A,30,97,1,1,0,0,0
A,30,98,1,1,0,0,0
A,30,99,1,1,0,0,0
A,30,100,1,1,0,0,0
A,30,101,1,1,0,0,0
A,30,102,1,1,0,0,0
A,30,103,1,1,0,0,0
A,30,104,1,1,0,0,0
A,30,105,1,1,0,0,0
A,30,106,1,1,0,0,0
A,30,107,1,1,0,0,0
A,30,108,1,1,0,0,0
A,30,109,1,1,0,0,0
A,30,110,1,1,0,0,0
A,30,111,1,1,0,0,0
A,30,112,1,1,0,0,0
A,30,113,1,1,0,0,0
A,30,114,1,1,0,0,0
A,30,115,1,1,0,0,0
A,30,116,1,1,0,0,0
A,30,117,1,1,0,0,0
A,30,118,1,1,0,0,0
A,30,119,1,1,0,0,0
A,30,120,1,1,0,0,0
A,30,121,1,1,0,0,0
A,30,122,1,1,0,0,0
A,30,123,1,1,0,0,0
A,30,124,1,1,0,0,0
A,30,125,1,1,0,0,0
A,30,126,1,1,0,0,0
A,30,127,1,1,0,0,0
A,30,128,1,1,0,0,0
A,30,129,1,1,0,0,0
A,30,130,1,1,0,0,0
A,30,131,1,1,0,0,0
A,30,132,1,1,0,0,0
A,30,133,1,1,0,0,0
A,30,134,1,1,0,0,0
A,30,135,1,1,0,0,0
A,30,136,1,1,0,0,0
A,30,137,1,1,0,0,0
A,30,138,1,1,0,0,0
A,30,139,1,1,0,0,0
A,30,140,1,1,0,0,0
A,30,141,1,1,0,0,0
A,30,142,1,1,0,0,0
A,30,143,1,1,0,0,0
A,30,144,1,1,0,0,0
A,30,145,1,1,0,0,0
A,30,146,1,1,0,0,0
A,30,147,1,1,0,0,0
A,30,148,1,1,0,0,0
A,30,149,1,1,0,0,0
A,30,150,1,1,0,0,0
A,30,151,1,1,0,0,0
