Day,Minute,Outdoor (Zone - 0) Occupant,Bedroom (Zone - 1) Occupant,Livingroom (Zone - 2) Occupant,Kitchen (Zone - 3) Occupant,Bathroom (Zone - 4) Occupant,Unit Energy Cost ($),Energy Comsumption (kWh),Control Cost ($)
1,0,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,1,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,2,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,3,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,4,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,5,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,6,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,7,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,8,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,9,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,10,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,11,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,12,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,13,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,14,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,15,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,16,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,17,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,18,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,19,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,20,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,21,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,22,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,23,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,24,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,25,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,26,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,27,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,28,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,29,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,30,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,31,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,32,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,33,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,34,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,35,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,36,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,37,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,38,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,39,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,40,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,41,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,42,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,43,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,44,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,45,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,46,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,47,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,48,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,49,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,50,0,0,1,0,1,0.34,0.036949184833333336,0.012562722843333336
1,51,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,52,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,53,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,54,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,55,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,56,0,1,1,0,0,0.34,0.013521146666666668,0.004597189866666667
1,57,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,58,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,59,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,60,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,61,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,62,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,63,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,64,0,1,0,0,1,0.34,0.03647710816666667,0.012402216776666667
1,65,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,66,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,67,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,68,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,69,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,70,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,71,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,72,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
1,73,0,2,0,0,0,0.34,0.012034600000000001,0.004091764
