Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
1,11,1,0,619,619
1,15,4,620,628,8
1,18,2,629,671,42
1,4,3,672,688,16
1,18,2,689,699,10
1,15,4,700,710,10
1,18,2,711,900,189
1,15,4,901,915,14
1,13,2,916,997,81
1,6,3,998,1012,14
1,1,0,1013,1017,4
1,13,2,1018,1057,39
1,16,1,1058,1145,87
1,10,3,1146,1149,3
1,18,2,1150,1353,203
1,15,4,1354,1355,1
1,12,2,1356,1439,83
2,12,2,0,60,60
2,11,1,61,406,345
2,15,4,407,410,3
2,17,1,411,460,49
2,20,4,461,473,12
2,1,0,474,577,103
2,14,4,578,589,11
2,27,1,590,592,2
2,1,0,593,595,2
2,17,1,596,604,8
2,4,3,605,615,10
2,1,0,616,1231,615
2,27,1,1232,1234,2
2,18,2,1235,1365,130
2,11,1,1366,1439,73
3,11,1,0,407,407
3,15,4,408,409,1
3,17,1,410,474,64
3,1,0,475,503,28
3,4,3,504,513,9
3,1,0,514,525,11
3,27,1,526,533,7
3,2,0,534,1420,886
3,27,1,1421,1422,1
3,1,0,1423,1427,4
3,15,4,1428,1439,11
4,17,1,0,407,407
4,15,4,408,409,1
4,17,1,410,536,126
4,4,3,537,545,8
4,1,0,546,551,5
4,25,2,552,571,19
4,1,0,572,573,1
4,20,4,574,580,6
4,27,1,581,586,5
4,2,0,587,1304,717
4,27,1,1305,1308,3
4,1,0,1309,1312,3
4,25,2,1313,1328,15
4,8,3,1329,1334,5
4,12,2,1335,1416,81
4,11,1,1417,1439,22
5,11,1,0,406,406
5,17,1,407,536,129
5,15,4,537,538,1
5,27,1,539,541,2
5,1,0,542,1335,793
5,27,1,1336,1337,1
5,15,4,1338,1339,1
5,1,0,1340,1341,1
5,25,2,1342,1439,97
6,12,2,0,34,34
6,15,4,35,37,2
6,11,1,38,201,163
6,15,4,202,204,2
6,11,1,205,436,231
6,15,4,437,438,1
6,17,1,439,499,60
6,4,3,500,509,9
6,1,0,510,515,5
6,21,4,516,519,3
6,27,1,520,524,4
6,1,0,525,1439,914
7,2,0,0,37,37
7,27,1,38,39,1
7,15,4,40,41,1
7,12,2,42,96,54
7,11,1,97,649,552
7,15,4,650,652,2
7,4,3,653,670,17
7,12,2,671,754,83
7,27,1,755,759,4
7,1,0,760,761,1
7,18,2,762,801,39
7,15,4,802,805,3
7,2,0,806,1439,633
8,2,0,0,1366,1366
8,15,4,1367,1369,2
8,12,2,1370,1439,69
9,12,2,0,26,26
9,11,1,27,247,220
9,15,4,248,250,2
9,11,1,251,546,295
9,1,0,547,551,4
9,13,2,552,560,8
9,4,3,561,568,7
9,1,0,569,570,1
9,25,2,571,586,15
9,1,0,587,616,29
9,14,4,617,635,18
9,27,1,636,639,3
9,1,0,640,1361,721
9,27,1,1362,1363,1
9,25,2,1364,1439,75
10,12,2,0,40,40
10,11,1,41,456,415
10,15,4,457,458,1
10,18,2,459,584,125
10,15,4,585,589,4
10,17,1,590,608,18
10,4,3,609,614,5
10,25,2,615,639,24
10,27,1,640,642,2
10,21,4,643,646,3
10,1,0,647,1340,693
10,27,1,1341,1342,1
10,15,4,1343,1344,1
10,1,0,1345,1356,11
10,8,3,1357,1365,8
10,1,0,1366,1379,13
10,25,2,1380,1439,59
11,12,2,0,48,48
11,11,1,49,520,471
11,1,0,521,525,4
11,17,1,526,619,93
11,15,4,620,640,20
11,18,2,641,692,51
11,4,3,693,711,18
11,12,2,712,772,60
11,1,0,773,826,53
11,27,1,827,828,1
11,18,2,829,845,16
11,1,0,846,1439,593
12,2,0,0,198,198
12,27,1,199,200,1
12,1,0,201,203,2
12,11,1,204,696,492
12,15,4,697,709,12
12,4,3,710,721,11
12,17,1,722,752,30
12,21,4,753,756,3
12,17,1,757,798,41
12,1,0,799,800,1
12,15,4,801,803,2
12,27,1,804,806,2
12,1,0,807,1439,632
13,2,0,0,86,86
13,27,1,87,119,32
13,12,2,120,139,19
13,11,1,140,537,397
13,15,4,538,539,1
13,17,1,540,565,25
13,14,4,566,588,22
13,27,1,589,593,4
13,1,0,594,1389,795
13,27,1,1390,1392,2
13,1,0,1393,1394,1
13,12,2,1395,1439,44
14,12,2,0,56,56
14,12,2,57,88,31
14,11,1,89,396,307
14,15,4,397,400,3
14,11,1,401,509,108
14,15,4,510,511,1
14,27,1,512,513,1
14,1,0,514,1217,703
14,27,1,1218,1222,4
14,1,0,1223,1225,2
14,15,4,1226,1237,11
14,11,1,1238,1268,30
14,12,2,1269,1382,113
14,11,1,1383,1439,56
15,2,0,0,68,68
15,18,2,69,70,1
15,1,0,71,75,4
15,11,1,76,582,506
15,1,0,583,584,1
15,15,4,585,587,2
15,17,1,588,593,5
15,2,0,594,616,22
15,17,1,617,660,43
15,4,3,661,670,9
15,1,0,671,679,8
15,21,4,680,682,2
15,27,1,683,684,1
15,1,0,685,1439,754
16,11,1,0,428,428
