Day,Minute,Occupant-1 Activity,Occupant-2 Activity
1,0,12,17
1,1,12,17
1,2,12,17
1,3,12,17
1,4,12,17
1,5,12,17
1,6,12,17
1,7,12,17
1,8,12,17
1,9,12,17
1,10,22,17
1,11,22,17
1,12,22,17
1,13,22,17
1,14,22,17
1,15,12,17
1,16,12,17
1,17,12,17
1,18,12,17
1,19,12,17
1,20,12,17
1,21,12,17
1,22,12,17
1,23,12,17
1,24,12,17
1,25,12,17
1,26,12,17
1,27,12,17
1,28,12,17
1,29,12,17
1,30,12,17
1,31,12,17
1,32,12,17
1,33,12,17
1,34,12,17
1,35,12,17
1,36,12,17
1,37,12,17
1,38,12,17
1,39,12,17
1,40,12,17
1,41,12,17
1,42,12,17
1,43,12,17
1,44,12,15
1,45,12,15
1,46,12,15
1,47,12,15
1,48,12,15
1,49,12,15
1,50,12,15
1,51,12,17
1,52,12,17
1,53,12,17
1,54,12,17
1,55,12,17
1,56,12,17
1,57,21,17
1,58,21,17
1,59,21,17
1,60,15,17
1,61,15,17
1,62,15,17
1,63,15,17
1,64,15,17
1,65,17,17
1,66,17,17
1,67,17,17
1,68,17,17
1,69,17,17
1,70,17,17
1,71,17,17
1,72,17,17
1,73,17,17
1,74,17,17
1,75,17,17
1,76,17,17
1,77,17,11
1,78,17,11
1,79,17,11
1,80,17,11
1,81,17,11
1,82,17,11
1,83,17,11
1,84,17,11
1,85,17,11
1,86,17,11
1,87,17,11
1,88,17,11
1,89,17,11
1,90,17,11
1,91,11,11
1,92,11,11
1,93,11,11
1,94,11,11
1,95,11,11
1,96,11,11
1,97,11,11
1,98,11,11
1,99,11,11
1,100,11,11
1,101,11,11
1,102,11,11
1,103,11,11
1,104,11,11
1,105,11,11
1,106,11,11
1,107,11,11
1,108,11,11
1,109,11,11
1,110,11,11
1,111,11,11
1,112,11,11
1,113,11,11
1,114,11,11
1,115,11,11
1,116,11,11
1,117,11,11
1,118,11,11
1,119,11,11
1,120,11,11
1,121,11,11
1,122,11,11
1,123,11,11
1,124,11,11
1,125,11,11
1,126,11,11
1,127,11,11
1,128,11,11
1,129,11,11
1,130,11,11
1,131,11,11
1,132,11,11
1,133,11,11
1,134,11,11
1,135,11,11
1,136,11,11
1,137,11,11
1,138,11,11
1,139,11,11
1,140,11,11
1,141,11,11
1,142,11,11
1,143,11,11
