Day,Minute,Occupant-1 Activity,Occupant-2 Activity
1,0,11,11
1,1,11,11
1,2,11,11
1,3,11,11
1,4,11,11
1,5,11,11
1,6,11,11
1,7,11,11
1,8,11,11
1,9,11,11
1,10,11,11
1,11,11,11
1,12,11,11
1,13,11,11
1,14,11,11
1,15,11,11
1,16,11,11
1,17,11,11
1,18,11,11
1,19,11,11
1,20,11,11
1,21,11,11
1,22,11,11
1,23,11,11
1,24,11,11
1,25,11,11
1,26,11,11
1,27,11,11
1,28,11,11
1,29,11,11
1,30,11,11
1,31,11,11
1,32,11,11
1,33,11,11
1,34,11,11
1,35,11,11
1,36,11,11
1,37,11,11
1,38,11,11
1,39,11,11
1,40,11,11
1,41,11,11
1,42,11,11
1,43,11,11
1,44,11,11
1,45,11,11
1,46,11,11
1,47,11,11
1,48,11,11
1,49,11,11
1,50,11,11
1,51,11,11
1,52,11,11
1,53,11,11
1,54,11,11
1,55,11,11
1,56,11,11
1,57,11,11
1,58,11,11
1,59,11,11
1,60,11,11
1,61,11,11
1,62,11,11
1,63,11,11
1,64,11,11
1,65,11,11
1,66,11,11
1,67,11,11
1,68,11,11
1,69,11,11
1,70,11,11
1,71,11,11
1,72,11,11
1,73,11,11
1,74,11,11
1,75,11,11
1,76,11,11
1,77,11,11
1,78,11,11
1,79,11,11
1,80,11,11
1,81,11,11
1,82,11,11
1,83,11,11
1,84,11,11
1,85,11,11
1,86,11,11
1,87,11,11
1,88,11,11
1,89,11,11
1,90,11,11
1,91,11,11
1,92,11,11
1,93,11,11
1,94,11,11
1,95,11,11
1,96,11,11
1,97,11,11
1,98,11,11
1,99,11,11
1,100,11,11
1,101,11,11
1,102,11,11
1,103,11,11
1,104,11,11
1,105,11,11
1,106,11,11
1,107,11,11
1,108,11,11
1,109,11,11
1,110,11,11
1,111,11,11
1,112,11,11
1,113,11,11
1,114,11,11
1,115,11,11
1,116,11,11
1,117,11,11
1,118,11,11
1,119,11,11
1,120,11,11
1,121,11,11
1,122,11,11
1,123,11,11
1,124,11,11
1,125,11,11
1,126,11,11
1,127,11,11
1,128,11,11
1,129,11,11
1,130,11,11
1,131,11,11
1,132,11,11
1,133,11,11
1,134,11,11
1,135,11,11
1,136,11,11
1,137,11,11
1,138,11,11
1,139,11,11
1,140,11,11
1,141,11,11
1,142,11,11
1,143,11,11
1,144,11,11
1,145,11,11
1,146,11,11
1,147,11,11
1,148,11,11
1,149,11,11
1,150,11,11
1,151,11,11
1,152,11,11
1,153,11,11
1,154,11,11
1,155,11,11
1,156,11,11
1,157,11,11
1,158,11,11
1,159,11,11
1,160,11,11
1,161,11,11
1,162,11,11
1,163,11,11
1,164,11,11
1,165,11,11
1,166,11,11
1,167,11,11
1,168,11,11
1,169,11,11
1,170,11,11
1,171,11,11
1,172,11,11
1,173,11,11
1,174,11,11
1,175,11,11
1,176,11,11
1,177,11,11
1,178,11,11
1,179,11,11
1,180,11,11
1,181,11,11
1,182,11,11
1,183,11,11
1,184,11,11
1,185,11,11
1,186,11,11
1,187,11,11
1,188,11,11
1,189,11,11
1,190,11,11
1,191,11,11
1,192,11,11
1,193,11,11
1,194,11,11
1,195,11,11
1,196,11,11
1,197,11,11
1,198,11,11
1,199,11,11
1,200,11,11
1,201,11,11
1,202,11,11
1,203,11,11
1,204,11,11
1,205,11,11
1,206,11,11
1,207,11,11
1,208,11,11
1,209,11,11
1,210,11,11
1,211,11,11
1,212,11,11
1,213,11,11
1,214,11,11
1,215,11,11
1,216,11,11
1,217,11,11
1,218,11,11
1,219,11,11
1,220,11,11
1,221,11,11
1,222,11,11
1,223,11,11
1,224,11,11
1,225,11,11
1,226,11,11
1,227,11,11
1,228,11,11
1,229,11,11
1,230,11,11
1,231,11,11
1,232,11,11
1,233,11,11
1,234,11,11
1,235,11,11
1,236,11,11
1,237,11,11
1,238,11,11
1,239,11,11
1,240,11,11
1,241,11,11
1,242,11,11
1,243,11,11
1,244,11,11
1,245,11,11
1,246,11,11
1,247,11,11
1,248,11,11
1,249,11,11
1,250,11,11
1,251,11,11
1,252,11,11
1,253,11,11
1,254,11,11
1,255,11,11
1,256,11,11
1,257,11,11
1,258,11,11
1,259,11,11
1,260,11,11
1,261,11,11
1,262,11,11
1,263,11,11
1,264,11,11
1,265,11,11
1,266,11,11
1,267,11,11
1,268,11,11
1,269,11,11
1,270,11,11
1,271,11,11
1,272,11,11
1,273,11,11
1,274,11,11
1,275,11,11
1,276,11,11
1,277,11,11
1,278,11,11
1,279,11,11
1,280,11,11
1,281,11,11
1,282,11,11
1,283,11,11
1,284,11,11
1,285,11,11
1,286,11,11
1,287,11,11
1,288,11,11
1,289,11,11
1,290,11,11
1,291,11,11
1,292,11,11
1,293,11,11
1,294,11,11
1,295,11,11
1,296,11,11
1,297,11,11
1,298,11,11
1,299,11,11
1,300,11,11
1,301,15,11
1,302,15,11
1,303,11,11
1,304,11,11
1,305,11,11
1,306,11,11
1,307,11,11
1,308,11,11
1,309,11,11
1,310,11,11
1,311,11,11
1,312,11,11
1,313,11,11
1,314,11,11
1,315,11,11
1,316,11,11
1,317,11,11
1,318,11,11
1,319,11,11
1,320,11,11
1,321,11,11
1,322,11,11
1,323,1,11
1,324,11,11
1,325,11,11
1,326,11,11
1,327,11,11
1,328,11,11
1,329,11,11
1,330,11,11
1,331,11,11
1,332,11,11
1,333,11,11
1,334,11,11
1,335,11,11
1,336,11,11
1,337,11,11
1,338,11,11
1,339,11,11
1,340,11,11
1,341,11,11
1,342,11,11
1,343,11,11
1,344,11,11
1,345,11,11
1,346,11,11
1,347,11,11
1,348,11,11
1,349,11,11
1,350,11,11
1,351,11,11
1,352,11,11
1,353,11,11
1,354,11,11
1,355,11,11
1,356,11,11
1,357,11,11
1,358,11,11
1,359,11,11
1,360,11,11
1,361,11,11
1,362,11,11
1,363,11,11
1,364,11,11
1,365,11,11
1,366,11,11
1,367,11,11
1,368,11,11
1,369,11,11
1,370,11,11
1,371,11,11
1,372,11,11
1,373,11,11
1,374,11,11
1,375,11,11
1,376,11,11
1,377,11,11
1,378,11,11
1,379,11,11
1,380,11,11
1,381,11,11
1,382,11,11
1,383,11,11
1,384,11,11
1,385,11,11
1,386,11,11
1,387,11,11
1,388,11,11
1,389,11,11
1,390,11,11
1,391,11,11
1,392,11,11
1,393,11,11
1,394,11,11
1,395,11,11
1,396,11,11
1,397,11,11
1,398,11,11
1,399,11,11
1,400,11,11
1,401,11,11
1,402,11,11
1,403,11,11
1,404,11,11
1,405,11,11
1,406,11,11
1,407,11,11
1,408,11,11
1,409,11,11
1,410,11,11
1,411,11,11
1,412,11,11
1,413,11,11
1,414,11,11
1,415,11,11
1,416,11,11
1,417,11,11
1,418,11,11
1,419,11,11
1,420,11,11
1,421,11,11
1,422,11,11
1,423,11,11
1,424,11,11
1,425,11,11
1,426,11,11
1,427,11,11
1,428,11,11
1,429,11,11
1,430,11,11
1,431,11,11
1,432,11,11
1,433,11,11
1,434,11,11
1,435,11,11
1,436,11,11
1,437,11,11
1,438,11,11
1,439,11,11
1,440,11,11
1,441,11,11
1,442,11,11
1,443,11,11
1,444,11,11
1,445,11,11
1,446,11,11
1,447,11,11
1,448,11,11
1,449,11,11
1,450,11,11
1,451,11,11
1,452,11,11
1,453,11,11
1,454,11,11
1,455,11,11
1,456,11,11
1,457,11,11
1,458,11,11
1,459,11,11
1,460,11,11
1,461,11,11
1,462,11,11
1,463,11,11
1,464,11,11
1,465,11,11
1,466,11,11
1,467,11,11
1,468,11,11
1,469,11,11
1,470,11,11
1,471,11,11
1,472,11,11
1,473,11,11
1,474,11,11
1,475,11,11
1,476,11,11
1,477,11,11
