Day,Minute,Occupant-1 Activity,Occupant-2 Activity,Unit Energy Cost ($),Energy Comsumption (kWh),Control Cost ($)
1,0,11,11,0.34,0.004972756893,0.0016907373436200002
1,1,11,11,0.34,0.004972756893,0.0016907373436200002
1,2,11,11,0.34,0.004972756893,0.0016907373436200002
1,3,11,11,0.34,0.004972756893,0.0016907373436200002
1,4,11,11,0.34,0.004972756893,0.0016907373436200002
1,5,11,11,0.34,0.004972756893,0.0016907373436200002
1,6,11,11,0.34,0.004972756893,0.0016907373436200002
1,7,11,11,0.34,0.004972756893,0.0016907373436200002
1,8,11,11,0.34,0.004972756893,0.0016907373436200002
1,9,11,11,0.34,0.004972756893,0.0016907373436200002
1,10,11,11,0.34,0.004972756893,0.0016907373436200002
1,11,11,11,0.34,0.004972756893,0.0016907373436200002
1,12,11,11,0.34,0.004972756893,0.0016907373436200002
1,13,11,11,0.34,0.004972756893,0.0016907373436200002
1,14,11,11,0.34,0.004972756893,0.0016907373436200002
1,15,11,11,0.34,0.004972756893,0.0016907373436200002
1,16,11,11,0.34,0.004972756893,0.0016907373436200002
1,17,11,11,0.34,0.004972756893,0.0016907373436200002
1,18,11,11,0.34,0.004972756893,0.0016907373436200002
1,19,11,11,0.34,0.004972756893,0.0016907373436200002
1,20,11,11,0.34,0.004972756893,0.0016907373436200002
1,21,11,11,0.34,0.004972756893,0.0016907373436200002
1,22,11,11,0.34,0.004972756893,0.0016907373436200002
1,23,11,11,0.34,0.004972756893,0.0016907373436200002
1,24,11,11,0.34,0.004972756893,0.0016907373436200002
1,25,11,11,0.34,0.004972756893,0.0016907373436200002
1,26,11,11,0.34,0.004972756893,0.0016907373436200002
1,27,11,11,0.34,0.004972756893,0.0016907373436200002
1,28,11,11,0.34,0.004972756893,0.0016907373436200002
1,29,11,11,0.34,0.004972756893,0.0016907373436200002
1,30,11,11,0.34,0.004972756893,0.0016907373436200002
1,31,11,11,0.34,0.004972756893,0.0016907373436200002
1,32,11,11,0.34,0.004972756893,0.0016907373436200002
1,33,11,11,0.34,0.004972756893,0.0016907373436200002
1,34,11,11,0.34,0.004972756893,0.0016907373436200002
1,35,11,11,0.34,0.004972756893,0.0016907373436200002
1,36,11,11,0.34,0.004972756893,0.0016907373436200002
1,37,11,11,0.34,0.004972756893,0.0016907373436200002
1,38,11,11,0.34,0.004972756893,0.0016907373436200002
1,39,11,11,0.34,0.004972756893,0.0016907373436200002
1,40,11,11,0.34,0.004972756893,0.0016907373436200002
1,41,11,11,0.34,0.004972756893,0.0016907373436200002
1,42,11,11,0.34,0.004972756893,0.0016907373436200002
1,43,11,11,0.34,0.004972756893,0.0016907373436200002
1,44,11,11,0.34,0.004972756893,0.0016907373436200002
1,45,11,11,0.34,0.004972756893,0.0016907373436200002
1,46,11,11,0.34,0.004972756893,0.0016907373436200002
1,47,11,11,0.34,0.004972756893,0.0016907373436200002
1,48,11,11,0.34,0.004972756893,0.0016907373436200002
1,49,11,11,0.34,0.004972756893,0.0016907373436200002
1,50,11,11,0.34,0.004972756893,0.0016907373436200002
1,51,11,11,0.34,0.004972756893,0.0016907373436200002
1,52,11,11,0.34,0.004972756893,0.0016907373436200002
1,53,11,11,0.34,0.004972756893,0.0016907373436200002
1,54,11,11,0.34,0.004972756893,0.0016907373436200002
1,55,11,11,0.34,0.004972756893,0.0016907373436200002
1,56,11,11,0.34,0.004972756893,0.0016907373436200002
1,57,11,11,0.34,0.004972756893,0.0016907373436200002
1,58,11,11,0.34,0.004972756893,0.0016907373436200002
1,59,11,11,0.34,0.004972756893,0.0016907373436200002
1,60,11,11,0.34,0.004972756893,0.0016907373436200002
1,61,11,11,0.34,0.004972756893,0.0016907373436200002
1,62,11,11,0.34,0.004972756893,0.0016907373436200002
1,63,11,11,0.34,0.004972756893,0.0016907373436200002
1,64,11,11,0.34,0.004972756893,0.0016907373436200002
1,65,11,11,0.34,0.004972756893,0.0016907373436200002
1,66,11,11,0.34,0.004972756893,0.0016907373436200002
1,67,11,11,0.34,0.004972756893,0.0016907373436200002
1,68,11,11,0.34,0.004972756893,0.0016907373436200002
1,69,11,11,0.34,0.004972756893,0.0016907373436200002
1,70,11,11,0.34,0.004972756893,0.0016907373436200002
1,71,11,11,0.34,0.004972756893,0.0016907373436200002
1,72,11,11,0.34,0.004972756893,0.0016907373436200002
1,73,11,11,0.34,0.004972756893,0.0016907373436200002
1,74,11,11,0.34,0.004972756893,0.0016907373436200002
1,75,11,11,0.34,0.004972756893,0.0016907373436200002
1,76,11,11,0.34,0.004972756893,0.0016907373436200002
1,77,11,11,0.34,0.004972756893,0.0016907373436200002
1,78,11,11,0.34,0.004972756893,0.0016907373436200002
1,79,11,11,0.34,0.004972756893,0.0016907373436200002
1,80,11,11,0.34,0.004972756893,0.0016907373436200002
1,81,11,11,0.34,0.004972756893,0.0016907373436200002
1,82,11,11,0.34,0.004972756893,0.0016907373436200002
1,83,11,11,0.34,0.004972756893,0.0016907373436200002
1,84,11,11,0.34,0.004972756893,0.0016907373436200002
1,85,11,11,0.34,0.004972756893,0.0016907373436200002
1,86,11,11,0.34,0.004972756893,0.0016907373436200002
1,87,11,11,0.34,0.004972756893,0.0016907373436200002
1,88,11,11,0.34,0.004972756893,0.0016907373436200002
1,89,11,11,0.34,0.004972756893,0.0016907373436200002
1,90,11,11,0.34,0.004972756893,0.0016907373436200002
1,91,11,11,0.34,0.004972756893,0.0016907373436200002
1,92,11,11,0.34,0.004972756893,0.0016907373436200002
1,93,11,11,0.34,0.004972756893,0.0016907373436200002
1,94,11,11,0.34,0.004972756893,0.0016907373436200002
1,95,11,11,0.34,0.004972756893,0.0016907373436200002
1,96,11,11,0.34,0.004972756893,0.0016907373436200002
1,97,11,11,0.34,0.004972756893,0.0016907373436200002
1,98,11,11,0.34,0.004972756893,0.0016907373436200002
1,99,11,11,0.34,0.004972756893,0.0016907373436200002
1,100,11,11,0.34,0.004972756893,0.0016907373436200002
1,101,11,11,0.34,0.004972756893,0.0016907373436200002
1,102,11,11,0.34,0.004972756893,0.0016907373436200002
1,103,11,11,0.34,0.004972756893,0.0016907373436200002
1,104,11,11,0.34,0.004972756893,0.0016907373436200002
1,105,11,11,0.34,0.004972756893,0.0016907373436200002
1,106,11,11,0.34,0.004972756893,0.0016907373436200002
1,107,11,11,0.34,0.004972756893,0.0016907373436200002
1,108,11,11,0.34,0.004972756893,0.0016907373436200002
1,109,11,11,0.34,0.004972756893,0.0016907373436200002
1,110,11,11,0.34,0.004972756893,0.0016907373436200002
1,111,11,11,0.34,0.004972756893,0.0016907373436200002
1,112,11,11,0.34,0.004972756893,0.0016907373436200002
1,113,11,11,0.34,0.004972756893,0.0016907373436200002
1,114,11,11,0.34,0.004972756893,0.0016907373436200002
1,115,11,11,0.34,0.004972756893,0.0016907373436200002
1,116,11,11,0.34,0.004972756893,0.0016907373436200002
1,117,11,11,0.34,0.004972756893,0.0016907373436200002
1,118,11,11,0.34,0.004972756893,0.0016907373436200002
1,119,11,11,0.34,0.004972756893,0.0016907373436200002
1,120,11,11,0.34,0.004972756893,0.0016907373436200002
1,121,11,11,0.34,0.004972756893,0.0016907373436200002
1,122,11,11,0.34,0.004972756893,0.0016907373436200002
1,123,11,11,0.34,0.004972756893,0.0016907373436200002
1,124,11,11,0.34,0.004972756893,0.0016907373436200002
1,125,11,11,0.34,0.004972756893,0.0016907373436200002
1,126,11,11,0.34,0.004972756893,0.0016907373436200002
1,127,11,11,0.34,0.004972756893,0.0016907373436200002
1,128,11,11,0.34,0.004972756893,0.0016907373436200002
1,129,11,11,0.34,0.004972756893,0.0016907373436200002
